recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,LCS-Ponderado,30,0,0.004931648824035331,0.0015442040933873185,0.014070843069626875,0.008730621012061401,0.038267200341993185,0.03292052894187148,0.0659864450039121,0.04588404932764345
Dominance,LCS-Ponderado,40,2,0.001712129733783277,1.5521946549269268E-4,0.002245964903539767,0.006828364053233224,0.010635406305941399,0.0027419489886772153,0.006751750500541154,0.010459105051437307
Dominance,LCS-Ponderado,40,5,0.0042968754964951405,0.0031386097284317304,0.0035432793370273577,0.007815371200544551,0.04567861602568779,0.01643606924465765,0.024820523460089783,0.031495774530733114
Dominance,LCS-Ponderado,40,7,0.004370769556317321,0.004557518315492866,0.008889657716427843,0.010492199094165712,0.06598684043356465,0.04575395510093034,0.039667787726629246,0.04866689997339617
Dominance,LCS-Ponderado,40,10,0.005481881522704735,0.005987968019729671,0.011185457786973083,0.017765861774860465,0.080356511807072,0.04775395854229354,0.08508635656022716,0.07660026092730121
Dominance,LCS-Ponderado,40,0,0.002076315929876354,0.004183959431660184,0.0036257759171285505,0.0031827736466679235,0.022807235454147503,0.010961044556701608,0.04676176296879016,0.025938276726111202
Dominance,LCS-Ponderado,50,2,0.007269318607901284,1.5521946549269268E-4,0.0013223317100335707,0.0020566926672917455,0.00845880807471002,0.005110474800947729,0.004128367960914178,0.01993414781458772
Dominance,LCS-Ponderado,50,5,0.007323927721965891,0.003103887506209509,0.007837840452938954,0.004733924683131655,0.02426488749552356,0.032220110040416666,0.015574237170618566,0.03840801519284544
Dominance,LCS-Ponderado,50,7,0.010657261055299225,0.005194140197634143,0.014181991317624237,0.015213560064306584,0.03502606066134911,0.050086720289521255,0.01946745168419182,0.05720947957642669
Dominance,LCS-Ponderado,50,10,0.013820249349645644,0.00966053097154762,0.018824518339153162,0.025328425087611257,0.04379540194508253,0.05975908862779282,0.05527246446876807,0.08485344080110505
Dominance,LCS-Ponderado,50,0,0.0027376105566877446,0.003701223676176386,0.007283945056560203,0.005131771219720772,0.013537737158297928,0.013659299366554824,0.013136646540577682,0.03514180279529455
Dominance,LCS-Ponderado,5,2,0.00826219254113622,0.003365526016725903,6.997921647581805E-4,0.02413315204201809,0.01008824193189397,0.016204358998250065,0.03983128380012398,0.012514552731886917
Dominance,LCS-Ponderado,5,5,0.014613769368027722,0.010044540047018774,0.006832247544368858,0.0488791555681627,0.026552319997611814,0.03354854493727244,0.0968336784460396,0.03521185795553594
Dominance,LCS-Ponderado,5,7,0.02287701724014242,0.010186585501564227,0.01136682457709761,0.06482920765187095,0.03318023887339407,0.03943512216624566,0.13284979792277812,0.10716813498479358
Dominance,LCS-Ponderado,5,10,0.024897509951381278,0.013206900334783674,0.014971974499112221,0.07143069871302815,0.03600698633070337,0.074301912848289,0.1461081826374856,0.14683278550525874
Dominance,LCS-Ponderado,5,0,0.021846899502426544,0.005372504246841809,0.006951655909348714,0.03257849619185775,0.017454710233719254,0.03934650434633644,0.08043880024757243,0.05237662875119207
Dominance,LCS-Ponderado,60,2,0.0014772727272727272,1.0775862068965517E-4,0.001274224341594174,0.004675042059834687,0.007402852190210091,0.00722038308839857,0.006899344428724672,0.019874176118444314
Dominance,LCS-Ponderado,60,5,0.0016156102050883052,0.003172433983260936,0.007354015361906148,0.013818240720674009,0.028085002356330605,0.016584370320205714,0.018132235434790006,0.03615769326806079
Dominance,LCS-Ponderado,60,7,0.0024038328451415104,0.004162192881537998,0.0074152925518538824,0.016400368922476514,0.04437737373585922,0.03582848233376476,0.02448046151509107,0.0508193017669441
Dominance,LCS-Ponderado,60,10,0.0024160690778501836,0.006556747786790956,0.011714812645035606,0.037780205499789915,0.04751004970952856,0.054040636458875205,0.06369557932572038,0.05982466740669665
Dominance,LCS-Ponderado,60,0,1.834978462620402E-4,0.003563197611686423,0.0072453501846423355,0.007452069155373636,0.027759368667238646,0.016288549980224852,0.039340445860180845,0.0436412895866668
Dominance,LCS-Ponderado,8,2,0.005303952946085604,0.0067889898390004755,2.2544647641940734E-4,0.014429309249667503,0.013544493315673537,0.02901770139835991,0.0494410168569753,0.019566302566591608
Dominance,LCS-Ponderado,8,5,0.0070266667292913695,0.014296905220585954,0.006660135682501609,0.025816473145553152,0.020496981124436847,0.06029983713672097,0.06851563459430848,0.061474316071793995
Dominance,LCS-Ponderado,8,7,0.007505569515162871,0.014457534730563968,0.008138576458042699,0.027785082028482205,0.02407099101780237,0.06456500507176191,0.08788820918059016,0.0758744417215276
Dominance,LCS-Ponderado,8,10,0.00904163428946732,0.018119374095032365,0.013361163516987294,0.03319907981519851,0.03371589138911963,0.08084067637638989,0.11424032238619494,0.09607691256984668
Dominance,LCS-Ponderado,8,0,0.00823655597312672,0.008682146305103684,0.003710473953674785,0.010621540991446219,0.02160601813063063,0.04566344940968011,0.05458675010809887,0.02648471375218597
Dominance,LCS-Puro,10,2,4.556956604200699E-5,1.3971358714634998E-4,3.1124969497481694E-4,0.005379662043455965,0.0030782345076992537,0.012374596456558362,0.006267802681574692,0.006900482056114747
Dominance,LCS-Puro,10,5,9.979085374031119E-4,0.002164472779501598,0.0023574868626357556,0.010169323949246488,0.031850139655305566,0.025457675686246045,0.02077035450304324,0.027441255594621333
Dominance,LCS-Puro,10,7,0.0012245971779950738,0.005232936872109687,0.0030430074368794718,0.012432714431577976,0.038522320102196285,0.03505109658072196,0.03222459272341486,0.035804283383697746
