recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
LCS-B,Levenshtein,40,2,8.680555555555555E-5,5.5567903978661923E-5,0.0,1.4237345953421748E-4
LCS-B,Levenshtein,40,5,0.0016493055555555556,0.0026228050677928427,0.0,0.004272110623348398
LCS-B,Levenshtein,40,7,0.0016493055555555556,0.0026228050677928427,2.6164311878597594E-4,0.004533753742134374
LCS-B,Levenshtein,40,10,0.002274305555555556,0.00329897445681747,5.770532702617013E-4,0.006150333282634727
LCS-B,Levenshtein,40,0,0.0023720664769002206,0.00273383973285978,3.7165634516976614E-4,0.005477562554929766
LCS-B,Levenshtein,50,2,8.680555555555555E-5,5.5567903978661923E-5,0.0,1.4237345953421748E-4
LCS-B,Levenshtein,50,5,0.0017130810657596373,1.7781729273171816E-4,2.7217364678664986E-4,0.0021630720052780053
LCS-B,Levenshtein,50,7,0.005879747732426303,6.137453456495931E-4,3.1941476545633993E-4,0.006812907843532236
LCS-B,Levenshtein,50,10,0.009785997732426301,8.174943269046869E-4,3.256103220031846E-4,0.010929102381334174
LCS-B,Levenshtein,50,0,0.0020048075043456815,1.511423670976917E-4,6.474939740391944E-4,0.0028034438454825677
LCS-B,Levenshtein,5,2,1.201923076923077E-4,0.0,6.195556546844603E-6,1.263878642391523E-4
LCS-B,Levenshtein,5,5,0.005802784354139843,0.0030308801402692395,6.938481048112058E-5,0.008903049304890203
LCS-B,Levenshtein,5,7,0.008927784354139844,0.0030308801402692395,8.246696642041939E-5,0.012041131460829503
LCS-B,Levenshtein,5,10,0.009839774150058211,0.005516617711581383,1.0881777602210584E-4,0.0154652096376617
LCS-B,Levenshtein,5,0,0.0014079430842985742,5.659987933826564E-4,2.4133151851662193E-4,0.0022152733961978525
LCS-B,Levenshtein,60,2,8.680555555555555E-5,5.5567903978661923E-5,0.0,1.4237345953421748E-4
LCS-B,Levenshtein,60,5,0.001799886621315193,2.1430964758337677E-4,1.0530528000673954E-5,0.0020247267968992438
LCS-B,Levenshtein,60,7,0.004924886621315193,2.1430964758337677E-4,3.1941476545633993E-4,0.00545861103435491
LCS-B,Levenshtein,60,10,0.007789469954648525,6.502377005012519E-4,3.1941476545633993E-4,0.008759122420606117
LCS-B,Levenshtein,60,0,0.0040011386639676105,2.905625369323264E-4,3.5220864895247505E-4,0.004643909849852411
LCS-B,Levenshtein,8,2,0.001417824074074074,0.0,0.0,0.001417824074074074
LCS-B,Levenshtein,8,5,0.0063181374819305846,0.005373993424702817,2.8211394694701704E-5,0.011720342301328105
LCS-B,Levenshtein,8,7,0.008613915990702516,0.005527268732225078,5.885428248044663E-5,0.01420003900540804
LCS-B,Levenshtein,8,10,0.008837130276416801,0.005527268732225078,7.193643841974542E-5,0.014436335447061624
LCS-B,Levenshtein,8,0,0.0043513421816636175,0.002686552228704164,2.4195454104895825E-4,0.00727984895141674
