recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,LCS-Ponderado,40,0,1.4697236919459142E-4,0.0,7.558578987150416E-5,7.022609769647049E-4,0.0,9.248191360308005E-4
Dominance,LCS-Ponderado,50,2,9.92063492063492E-4,4.1893590280687055E-4,7.558578987150416E-5,0.0,0.0,0.0014865851847418667
Dominance,LCS-Ponderado,50,5,0.003053999377528789,5.465428157308024E-4,1.956132247137538E-4,0.0,0.0,0.0037961554179733454
Dominance,LCS-Ponderado,50,7,0.0063253892342845,0.004130772206411806,1.956132247137538E-4,9.946685764303334E-6,0.0,0.010661721351174361
Dominance,LCS-Ponderado,50,10,0.006510888341034955,0.005570864372310424,5.458452534327801E-4,4.6354295581176725E-4,8.368200836820084E-4,0.013927961006271933
Dominance,LCS-Ponderado,50,0,0.0012290029280320543,1.6582879486105293E-4,5.80540858318636E-4,4.148506860371267E-4,3.401707657243937E-5,0.0024242403438213093
Dominance,LCS-Ponderado,5,2,0.0,2.0678246484698098E-4,9.763164525069287E-5,0.003241610282636736,0.0020920502092050207,0.0056380746019394305
Dominance,LCS-Ponderado,5,5,1.240079365079365E-4,0.002481837159256514,4.787184233962945E-4,0.006666235368478798,0.0031380753138075313,0.012888874201447074
Dominance,LCS-Ponderado,5,7,0.0016606490781038822,0.002481837159256514,0.0010078189524968238,0.009742009569106163,0.0032426778242677827,0.018134992583231164
Dominance,LCS-Ponderado,5,10,0.0040905709702127955,0.0030037361734416433,0.0016522362635808014,0.009943785194610602,0.0033201611653494497,0.022010489767195295
Dominance,LCS-Ponderado,5,0,4.0682939842603705E-4,9.658799981380627E-4,0.0014301808600985836,0.0036446709782812854,0.0022741360607469395,0.008721697295690908
Dominance,LCS-Ponderado,60,2,9.92063492063492E-4,0.001728110599078341,7.558578987150416E-5,0.0,0.0,0.002795759881013337
Dominance,LCS-Ponderado,60,5,0.0041828992133251764,0.004462630435934106,2.0425865819578858E-4,0.0,1.9460932178651357E-5,0.008869249239633722
Dominance,LCS-Ponderado,60,7,0.006682549787184261,0.004462630435934106,2.0425865819578858E-4,2.0619406985855085E-5,1.9460932178651357E-5,0.01138951922047866
Dominance,LCS-Ponderado,60,10,0.006829522156378852,0.004462630435934106,2.605459485256321E-4,5.649446825562264E-5,0.004203561350588693,0.015812754359682907
